type,channel,score,brands,brand_count,tag,views
풀,닥터블랑_예뻐지는비결,70,라운드랩,1,경쟁 검증,
풀,Jaina,62,,0,화이트스페이스,
풀,소살 Sora Salon,62,달바·라운드랩·스킨1004·조선미녀,4,협찬 과다,
풀,일타의사 박영진,62,,0,화이트스페이스,
풀,림온 RIMON,60,,0,화이트스페이스,
풀,최종시안,58,,0,화이트스페이스,
풀,임보라,58,달바,1,경쟁 검증,
풀,유리하다,58,라운드랩·조선미녀,2,경쟁 검증,
풀,프롬베이지,58,,0,화이트스페이스,
풀,안다 ANDA,57,,0,화이트스페이스,
풀,회사원A,55,,0,화이트스페이스,
풀,한별두별[Hanna],52,,0,화이트스페이스,
풀,한혜진 Han Hye Jin,47,,0,화이트스페이스,
풀,디렉터 파이,47,달바·라운드랩·스킨1004·조선미녀,4,협찬 과다,
풀,지켜츄 Chuu Can Do It,47,,0,화이트스페이스,
풀,스완SWAN_현실남자관리,47,달바·라운드랩·스킨1004,3,협찬 과다,
풀,뷰드름 유튜버 인씨,47,달바·라운드랩·스킨1004·조선미녀,4,협찬 과다,
풀,일단이나연 NAYEON,43,,0,화이트스페이스,
풀,헤이유정 YUJUNG,38,,0,화이트스페이스,
풀,Risabae,33,,0,화이트스페이스,
신규후보,d'Alba,,달바,1,경쟁사 검증·미시딩,3590438
신규후보,제이나 [Jaina],,라운드랩,1,경쟁사 검증·미시딩,416040
신규후보, YTN,,라운드랩,1,경쟁사 검증·미시딩,392041
신규후보,동네 의사 이상욱,,스킨1004,1,경쟁사 검증·미시딩,340164
신규후보,스칼렛 언니,,달바·조선미녀,2,경쟁사 검증·미시딩,275031
